,X,Y,Facies,Porosity,Perm,AI
3,70.0,720.0,0.0,0.12222197643324352,4.429608267508695,3742.749607076727
5,70.0,580.0,1.0,0.17987768134173437,24.693696926532795,3658.744771887569
7,70.0,440.0,0.0,0.10575574648916339,7.599281127755397,3455.798300846618
8,70.0,370.0,1.0,0.17050781860795908,329.6552893816163,3318.7567645126455
9,70.0,300.0,0.0,0.12634649596370937,10.619642162861414,4039.457361888718
10,70.0,230.0,1.0,0.15473535157033094,36.5479510570588,4123.118019206206
16,140.0,790.0,0.0,0.13376371839441445,3.114662140556141,4495.538153865252
18,140.0,650.0,0.0,0.12328646347390913,2.502903408380315,3968.8375713046344
21,140.0,440.0,1.0,0.1612375563308258,45.21160613438084,3290.273133122111
28,210.0,930.0,1.0,0.15170805793472872,1.8372305595310103,3961.639836976258
29,210.0,860.0,1.0,0.15302550122312136,171.50041688184254,3231.4323824773
31,210.0,720.0,1.0,0.1748249886439044,0.6003372637657723,4195.126358397032
32,210.0,650.0,0.0,0.15853220587177203,98.39615193978058,3903.8798358018807
34,210.0,510.0,1.0,0.1918732294815464,25.844358454064118,3549.1539166488865
36,210.0,370.0,1.0,0.15754558790244821,15.141536734667131,3363.1272396435334
41,210.0,20.0,0.0,0.11360718533483552,0.1963895440985657,4118.570396664681
45,280.0,720.0,1.0,0.13428310618370667,7.142780154500126,3265.0671679626043
50,280.0,370.0,1.0,0.14510078334700133,6.010710086989424,3283.495931192008
53,280.0,160.0,0.0,0.14472762976570092,16.698511397139146,3863.769422830336
56,350.0,930.0,1.0,0.11776904051606635,40.85713162160621,3251.3754126920303
57,350.0,860.0,1.0,0.1359063422686261,2056.7291327432786,3464.5330665068777
58,350.0,790.0,1.0,0.18690990748738506,2.5085740713494458,3091.5991140996475
60,350.0,650.0,1.0,0.14334138990928597,24.79870129262797,3389.616826524412
62,350.0,510.0,1.0,0.1417934081911713,0.6501901550635176,3206.797762449033
63,350.0,440.0,1.0,0.15919098975964566,21.619433038433062,3658.354674153591
64,350.0,370.0,1.0,0.17636908984004063,3.1279065374823194,3230.1735914962865
65,350.0,300.0,1.0,0.15405947624739413,134.5032575160815,3071.8141077370015
67,350.0,160.0,1.0,0.11838487872383596,41.93440897677465,4464.0034877715325
71,420.0,860.0,1.0,0.15779141508235883,12.054491300753504,2890.0098215965427
78,420.0,370.0,1.0,0.22002955303176625,115.77630747950614,2538.4799673785205
79,420.0,300.0,1.0,0.2494536799448483,90.1604236524508,2942.3938654391204
80,420.0,230.0,1.0,0.16098076200920838,12.312975263592625,2581.491461191783
81,420.0,160.0,1.0,0.1473413509277922,84.55277713825309,3217.6860931183965
83,420.0,20.0,1.0,0.0868417312454979,3.6215344187207363,3641.6069605501507
88,490.0,650.0,0.0,0.1365266015325668,3.0648428674978647,3692.5606857186413
89,490.0,580.0,0.0,0.12195043407563261,0.14812624217587017,4536.764785149025
92,490.0,370.0,1.0,0.1971536359107956,135.381233190467,2455.7143817178608
